"Region","EconomicallyActivePopulation","EconomicallyInactivePopulation","EmployedPopulation","UnemployedPopulation","RegisteredUnemploymentOfThePopulation","TheNumberOfInformallyEmployedPopulation
","NumberOfVacancies","GrossRegionalProductGRP","ConsumerPriceIndex","AverageSalary","Population","Income"
"Vinnitsa","717.4","441.6","640.9","76.5","20.5","205.4","0.8","74411","101.3","7613","1583082","87279"
"Volyn","418.1","	331.6","	366","	52.1","	9.7","	92.8","	2.2","	35744","	101.7","	7249","	1039705","	50029"
"Dnepr","1520.1","	876.9","	1390.9","	129.2","	27.5","	201.9","	4.5","	244478","	101.5","	8247","	3230775","	229781"
"Donetsk","859.6","	625.4","	734.3","	125.3","	13.5","	99.8","	0.7","	137500","	101.6","	9886","	4222259","	133478"
"Zhytomyr","572.6","	332.1","	510.6","	62","	15.7","	132.2","	1.9","	47919","	101.4","	7207","	1235860","	65885"
"Zakarpattya","554.5","	367.6","	496.3","	58.2","	5.7","	135.2","	0.8","	32390","	102.4","	8127","	1258466","	52753"
"Zaporozhye","805.9","	498.6","	719.7","	86.2","	20.1","	148.8","	0.8","	104323","	101.6","	8305","	1731329","	114607"
"IvanoFrankivsk","610.9","	406.3","	559","	51.9","	10.7","	275.5","	1.1","	51404","	101.8","	6935","	1378705","	67872"
"Kievskaya","793","	484.7","	741.1","	51.9","	14","	72.0","	4.7","	128638","	101.6","	8719","	1744378","	112327"
"Kirovograd","429.4","	277.2","	376.8","	52.6","	15.2","	71.9","	2","	46021","	101.5","	6798","	961003","	50706"
"Lugansk","350.4","	183.9","	292.1","	58.3","	7","	101.5","	0.5","	31356","	101.3","	7484","	2181546","	45242"
"Lviv","1136.6","	733.6","	1050.8","	85.8","	15.9","	204.8","	5.7","	114842","	101.7","	7879","	2531818","	142572"
"Nikolaev","546","	316.1","	489.7","	56.3","	15.1","	131.2","	1.8","	57815","	101.4","	8828","	1145725","	63599"
"Odessa","	1063.8","	696.4","	986.6","	77.2","	11.2","	210.8","	3","	119800","	101.6","	8297","	2384796","	143427"
"Poltava","	653.3","	411.2","	575","	78.3","	20.6","	81.5","	2.2","	116272","	101.5","	7839","	1420329","	87300"
"Rivne","	520.3","	315.4","	460.2","	60.1","	14.4","	227.1","	1.1","	39469","	101.4","	7676","	1161705","	57296"
"Sumy","	529.4","	309.8","	481.4","	48","	14.2","	167.8","	1.3","	46287","	101.2","	7359","	1099407","	62987"
"Ternopil","	453","	328.9","	399.1","	53.9","	9.7","	111.4","	1","	31072","	101.1","	6828","	1055752","	48544"
"Kharkiv","	1327.5","	730.7","	1247.1","	80.4","	22.1","	156.9","	3.5","	154871","	101.1","	7447","	2697598","	162405"
"Kherson","	497.2","	290.2","	442.2","	55","	9.2","	179.0","	0.5","	38743","	101.8","	7206","	1051315","	51878"
"Khmelnitsky","	566.2","	376.4","	516","	50.2","	13.2","	120.1","	1.2","	48859","	101.5","	7559","	1279838","	68799"
"Cherkassy","	577.6","	336.9","	518.4","	59.2","	17.7","	119.0","	0.2","	59412","	101.1","	7267","	1225785","	65050"
"Chernivtsi","	414.1","	255.9","	379.3","	34.8","	7.3","	188.9","	1.2","	21239","	102.1","	7265","	907411","	40540"
"Chernihiv","	479.6","	279.9","	426.1","	53.5","	12","	82.5","	1.1","	43362","	101.7","	6656","	1026745","	55252"
"Kiev","	1457.9","	737.7","	1356.8","	101.1","	10.3","	177.6","	6.6","	559140","	101.3","	14035","	2930141","	416218"
"Ukraine","	17854.4","	10945","	16156.4","	1698","	352.5","	3695.6","	50.4","	2385367","	101.5","	8777","	42485473","	2475826"
